First Name,Last Name,Email,Company
John,Doe,john.doe@example.com,Acme Corp
Sarah,Connor,sarah.c@cyberdyne.io,Cyberdyne Systems
Michael,Scott,michael.scott@dundermifflin.com,Dunder Mifflin
Bruce,Wayne,bruce@wayneenterprises.com,Wayne Enterprises
Tony,Stark,tony@starkindustries.com,Stark Industries
Jane,Smith,jane.smith@globalreach.co,Global Reach
Alex,Chen,alex.chen@innovatech.io,InnovaTech
Diana,Prince,diana@themyscira.org,Amazon Logistics
Clark,Kent,clark.kent@dailyplanet.com,Daily Planet
Peter,Parker,peter.parker@dailybugle.net,Daily Bugle
